priority	action	kind	target	size	reason	prerequisite
P0	preserve_contribution	local_repository	/Users/walter/Work/Claude/Agents	580K	Authored Claude agent-operation guides and scripts exist in a clean Git repository with no remote	Create a personal or private remote or make a Git bundle before cleanup
P0	preserve_contribution	email_tool	/Users/walter/Work/Claw/Emails/Data/gogdata/gog-gmail-capture.sh	4.6K	Unique reusable structured Gmail capture script	Copy to openclaw-docs/scripts/email; run bash -n and secret scan before commit
P0	preserve_contribution	openclaw_skill	/Users/walter/Work/Claw/Setpacks/openclaw/today/openclaw/workspace/skills/neverest/SKILL.md	6.5K	Validated original Neverest integration skill	Copy to openclaw-docs/skills/neverest and validate before commit
P0	preserve_contribution	research_corpus	/Users/walter/Work/Github/truj	1.5M	Non-Git labor and Fedload corpus contains vocabulary aliases manifests schemas and fixtures	Initialize a focused repository or make a hashed snapshot before extraction
P0	preserve_contribution	research_package	/Users/walter/Work/LLMHW	176K	Non-Git Groq-era LLM hardware recovery contains source transcript report and tables	Initialize Git and push the recovery package without later Equihash work
P0	rotate_then_remove	launch_config	/Users/walter/Work/Claw/docs/ai.openclaw.repo.plist	2.3K	Contains exposed gateway token and obsolete hard-coded runtime paths	Rotate gateway token and confirm launch service is retired before Trash
P1	preserve_contribution	session_schema	/Users/walter/Work/Claude/Claudes/claude-code-system-prompts/docs/SessionRec.md	303 lines	Unique cross-harness session schema is untracked inside a replaceable upstream clone	Move to CodeSess or CContext and commit there
P1	preserve_contribution	session_documents	/Users/walter/Work/Code/CodeSess	17K	CursorSessions.md and TasksKill.md are substantial untracked operational references	Review host-specific details then commit to fear-ai/codess or relocate deliberately
P1	preserve_contribution	mcp_work	/Users/walter/Work/Code/MCP/MCPs/mcpred	10 files	Staged SERVERS.md modified TODO.md and nine untracked testing and security artifacts are local only	Split current status from generated research then commit and push develop
P1	preserve_contribution	petri_patch	/Users/walter/Work/Code/Misses/petri/petri	3 modified + 10 untracked	Prompt extraction work is not reachable from any configured remote	Commit and push the named branch to a fork or export one patch with prompt files
P1	preserve_contribution	avtrans_wip	/Users/walter/Work/Github/Transcript/avtranscript	10 modified + 4 untracked	Local WIP includes status findings and deletions that currently break the static build	Decide restore versus complete then create one explicit WIP or archive commit
P1	preserve_contribution	tutorial	/Users/walter/Work/ZK/ZKs/bitcoin-src/Zeros	13K	Unique multisig and signet tutorial is untracked in a detached upstream clone	Move to a controlled docs repository or export a patch
P1	preserve_contribution	local_branch	/Users/walter/Work/ZK/ZKs/insight/insight-ui-zero	4 commits	Local ui-refresh branch ending at e559cbe is absent from all remote branches	Push ui-refresh if applicable or export a patch before pruning
P1	trash_incidental	empty_directory	/Users/walter/Work/gits	4K	Empty legacy repository root	Confirm directory remains empty, then Trash
P1	trash_regenerable	application_cache	/Users/walter/Library/Application Support/Claude/Cache	1.06G	Claude desktop download/render cache rather than authored sessions	Quit Claude before Trash; retain claude-code and local-agent-mode session directories
P1	trash_regenerable	application_cache	/Users/walter/Library/Caches/Google	2.13G	Regenerable Google application cache	Quit Chrome and Google applications before Trash
P1	trash_regenerable	application_cache	/Users/walter/Library/Caches/com.openai.codex	1.30G	Regenerable Codex application cache	Quit Codex before Trash; do not remove ~/.codex/sessions or state databases
P1	trash_regenerable	application_update_cache	/Users/walter/Library/Caches/com.todesktop.230313mzl4w4u92.ShipIt	1.60G	Regenerable desktop application update cache	Quit the associated application before Trash
P1	trash_regenerable	build_output	/Users/walter/Work/Claude/EQ/Req/rust/target	0.21G	Generated Rust output from separate Equihash work	Trash target only; do not resume or alter that project in this cleanup
P1	trash_regenerable	dependency_cache	/Users/walter/Work/Claw/Setpacks/openclaw/apr20/openclaw/home/.codex/.tmp/plugins	26M	Temporary clean openai/plugins clone inside inactive pack cache	Confirm apr20 pack and plugin installation are inactive
P1	trash_regenerable	python_environment	/Users/walter/Work/Code/Misses/petri/petri-venv	0.49G	Recreatable virtual environment for an inactive missed experiment	Confirm dependency specification remains, then Trash environment only
P1	trash_regenerable	dependency_cache	/Users/walter/Work/Github/Transcript/avtranscript/node_modules	0.40G	Regenerable dependencies in stalled AVTrans prototype	Retain package manifest and lockfile for a future restart
P1	trash_regenerable	build_output	/Users/walter/Work/Spank/HECpoc/target	4.48G	Ignored Cargo build output in authored HECpoc repository	Authored Markdown is pushed at 76aa392; Trash only target
P1	trash_regenerable	generated_binary	/Users/walter/Work/Spank/sOSS/otel/opentelemetry-collector-contrib/bin	0.53G	Ignored generated Darwin collector binaries in retained OSS clone	Trash only if retaining clone; binaries can be rebuilt
P1	trash_regenerable	generated_binary	/Users/walter/Work/Spank/sOSS/otel/opentelemetry-collector/bin	0.04G	Ignored generated collector binary in retained OSS clone	Trash only if retaining clone; binary can be rebuilt
P1	trash_regenerable	dependency_cache	/Users/walter/Work/ZK/ZKs/insight/ecosystem/TENT/insight-ui-tent/node_modules	55M	Regenerable npm dependencies inside nested reference project	Retain package manifest and lockfile; avoid broader ZK cleanup during active work
P1	trash_regenerable	temporary_trace_set	/var/folders/yv/_m_tr_gd78n0k4823cvcz26h0000gn/T/instruments*.ktrace	6.13G	Completed Instruments traces dated July 2-4 in user temporary storage	Quit Instruments and Xcode; inspect narrow glob and Trash traces older than one day
P2	hold_cloud_task	fedload_cloud_task	https://chatgpt.com/codex/tasks/task_e_68507496a5088320b00e37e4fd604842	7 changed lines	Valid tests/test_main.py import-order fix is not present on develop	Reapply or save patch before archiving task
P2	hold_cloud_task	fedload_cloud_task	https://chatgpt.com/codex/tasks/task_e_68547b426c7c8320ada7718f8d58f08f	87 lines	Three short Fedload design files remain on held cloud task	Compare ANA.md, DES.md, and PLAN.md with current Fedload documents
P2	preserve_then_remove	cursor_state_backup	/Users/walter/Library/Application Support/Cursor/User/globalStorage/state.vscdb.backup	3.36G	Old May Cursor state backup duplicates historical composer/session state	Preserve needed sessions and verify current state.vscdb integrity before removing backup
P2	preserve_then_remove	session_store	/Users/walter/Work/Claw/openclaw-docs/.codess	36M	Local session store may contain records not present in sibling store	Confirm canonical CodeSess ingestion before removing linked worktree
P2	preserve_then_remove	session_store	/Users/walter/Work/Claw/openclaw/.codess	39M	Local session store may contain records not present in sibling store	Confirm canonical CodeSess ingestion before removing primary clone
P2	preserve_then_remove	benchmark_results	/Users/walter/Work/Spank/HECpoc/profile/results	4.51G	Ignored raw benchmark results are large but may support authored conclusions	Conclusions are pushed at 76aa392; retain only raw evidence needed for reproduction before Trash
P2	remove_worktree	preserved_openclaw_docs	/Users/walter/Work/Claw/openclaw-docs	164M	Authored documents are pushed on claw_emails and local checkout is a linked worktree	Complete preservation pass, ingest distinct .codess records, then use git worktree remove from primary clone
P2	review_cache	codex_runtime_cache	/Users/walter/.cache/codex-runtimes	1.51G	Bundled execution runtimes are likely reacquirable but may be used by current Codex workflows	Confirm current Codex run is complete and runtime redownload is acceptable
P2	review_cache	claude_vm_runtime	/Users/walter/Library/Application Support/Claude/vm_bundles/claudevm.bundle	10.02G	Cowork/Claude VM root filesystem is downloadable runtime data	Remove only if VM/Cowork mode is unused and Claude is closed
P2	review_cache	chrome_downloaded_model	/Users/walter/Library/Application Support/Google/Chrome/OptGuideOnDeviceModel	3.98G	Downloaded on-device optimization model is separate from active Chrome profile	Quit Chrome and confirm model can be reacquired before Trash
P2	review_cache	docker_vm	/Users/walter/Library/Containers/com.docker.docker/Data/vms	9.81G	Docker VM contains images, containers, volumes, and build cache	Start Docker; inspect docker system df -v and prune through Docker, never delete VM directly
P2	review_system_managed	software_update_cache	/Library/Updates	1.76G	Two Command Line Tools update payload sets remain	Use Software Update or reboot completion; do not manually delete system update directory
P2	trash_preserved_clone	preserved_openclaw_clone	/Users/walter/Work/Claw/openclaw	2.35G	Fix and documentation branches are pushed; most size is Git history	Remove linked worktree first and verify both remote branch tips before Trash
P3	review_uninstall	application	/Applications/GarageBand.app	1.12G	Optional application plus about 1.8 GiB shared instruments	Use normal application/content removal if music tools are unused
P3	review_uninstall	application	/Applications/Splunk	10.03G	Largest single optional application area and potentially superseded local test service	Confirm Spank work no longer requires local Splunk; use vendor uninstall/backup procedure
P3	review_uninstall	application	/Applications/iMovie.app	3.67G	Optional large application bundle	Uninstall conventionally if unused
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Claw/Claws/ClawWork	0.26G	Clean upstream reference clone with reachable origin/main	Retain only while livebench/agent comparison remains useful; otherwise record remote and Trash whole clone
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Claw/Claws/Kai	0.16G	Clean upstream reference clone with reachable origin/main	Retain only while platform comparison remains useful; otherwise record remote and Trash whole clone
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Claw/Emails/inbox-zero	0.13G	Clean upstream reference clone with reachable origin/main	Retain only while email-product comparison remains useful
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Code/CodingTools/Roo	0.17G	Clean upstream coding-harness reference clone	Record origin/main and Trash when comparison role ends
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Code/CodingTools/cline	0.22G	Clean upstream coding-harness reference clone	Record origin/main and Trash when comparison role ends
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Code/CodingTools/continue	0.89G	Clean upstream coding-harness reference clone; history dominates size	Record origin/main and Trash or replace with shallow clone when comparison role ends
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Code/CodingTools/opencode	0.33G	Clean upstream coding-harness reference clone	Record origin/dev and Trash when comparison role ends
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Code/MCP/MCPJam-inspector	0.22G	Clean upstream MCP inspector reference clone	Record origin/main and Trash when comparison role ends
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Spank/sOSS/SecLists	0.45G	Clean upstream data/reference clone	Keep while security payload corpus is useful; otherwise record origin/master and Trash whole clone
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Spank/sOSS/fluent-bit	0.22G	Clean upstream logging reference clone	Record origin/master and Trash whole clone when review ends
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Spank/sOSS/otel/opentelemetry-collector-contrib	0.67G	Clean upstream clone plus 0.53 GiB ignored generated binaries	Prefer deleting ignored bin if retaining source; otherwise record origin/main and Trash whole clone
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Spank/sOSS/otel/otel-arrow	0.16G	Clean upstream telemetry reference clone	Record origin/main and Trash whole clone when review ends
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Spank/sOSS/splunk/security_content	0.35G	Clean upstream Splunk content clone with 0.31 GiB Git history	Keep while detections/playbooks remain useful; otherwise record origin/develop and Trash whole clone
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Spank/sOSS/vector	0.11G	Clean upstream logging reference clone	Record origin/master and Trash whole clone when review ends
P3	trash_clean_clone	upstream_reference_repo	/Users/walter/Work/Spank/sOSS/wazuh	0.29G	Clean upstream security reference clone with tracked tests/rulesets	Keep clone intact while useful; otherwise record origin/main and Trash whole clone
